Path to db: D:\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{5_p, 0_n, 0_b, X_r, X_q}: accuracy = 49.531250, count = 160
{5_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 50.833332, count = 150
{5_p, 0_n, 1_b, 0_r, X_q}: accuracy = 50.833332, count = 150
{5_p, 0_n, 1_b, X_r, 0_q}: accuracy = 50.833332, count = 150
{5_p, 0_n, 1_b, X_r, X_q}: accuracy = 50.833332, count = 150
{5_p, 0_n, X_b, 0_r, 0_q}: accuracy = 50.833332, count = 150
{5_p, 0_n, X_b, 0_r, X_q}: accuracy = 50.833332, count = 150
{5_p, 0_n, X_b, 2_r, 0_q}: accuracy = 49.531250, count = 160
{5_p, 0_n, X_b, 2_r, X_q}: accuracy = 49.531250, count = 160
{5_p, 0_n, X_b, X_r, 0_q}: accuracy = 50.161289, count = 310
{5_p, 0_n, X_b, X_r, X_q}: accuracy = 50.161289, count = 310
{5_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, 1_b, 4_r, X_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, 1_b, X_r, 0_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, 1_b, X_r, X_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, X_b, 4_r, 0_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, X_b, 4_r, X_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, X_b, X_r, 0_q}: accuracy = 48.897057, count = 68
{5_p, 1_n, X_b, X_r, X_q}: accuracy = 48.897057, count = 68
{5_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, 0_b, 0_r, X_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, 0_b, X_r, 0_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, 0_b, X_r, X_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, X_b, 0_r, 0_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, X_b, 0_r, X_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, X_b, X_r, 0_q}: accuracy = 51.655624, count = 151
{5_p, 2_n, X_b, X_r, X_q}: accuracy = 51.655624, count = 151
{5_p, X_n, 0_b, 0_r, 0_q}: accuracy = 51.655624, count = 151
{5_p, X_n, 0_b, 0_r, X_q}: accuracy = 51.655624, count = 151
{5_p, X_n, 0_b, 2_r, 0_q}: accuracy = 49.531250, count = 160
{5_p, X_n, 0_b, 2_r, X_q}: accuracy = 49.531250, count = 160
{5_p, X_n, 0_b, X_r, 0_q}: accuracy = 50.562702, count = 311
{5_p, X_n, 0_b, X_r, X_q}: accuracy = 50.562702, count = 311
{5_p, X_n, 1_b, 0_r, 0_q}: accuracy = 50.833332, count = 150
{5_p, X_n, 1_b, 0_r, X_q}: accuracy = 50.833332, count = 150
{5_p, X_n, 1_b, 4_r, 0_q}: accuracy = 48.897057, count = 68
{5_p, X_n, 1_b, 4_r, X_q}: accuracy = 48.897057, count = 68
{5_p, X_n, 1_b, X_r, 0_q}: accuracy = 50.229359, count = 218
{5_p, X_n, 1_b, X_r, X_q}: accuracy = 50.229359, count = 218
{5_p, X_n, X_b, 0_r, 0_q}: accuracy = 51.245846, count = 301
{5_p, X_n, X_b, 0_r, X_q}: accuracy = 51.245846, count = 301
{5_p, X_n, X_b, 2_r, 0_q}: accuracy = 49.531250, count = 160
{5_p, X_n, X_b, 2_r, X_q}: accuracy = 49.531250, count = 160
{5_p, X_n, X_b, 4_r, 0_q}: accuracy = 48.897057, count = 68
{5_p, X_n, X_b, 4_r, X_q}: accuracy = 48.897057, count = 68
{5_p, X_n, X_b, X_r, 0_q}: accuracy = 50.425331, count = 529
{5_p, X_n, X_b, X_r, X_q}: accuracy = 50.425331, count = 529
{6_p, 0_n, 0_b, 0_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, 0_n, 0_b, 0_r, X_q}: accuracy = 42.938313, count = 154
{6_p, 0_n, 0_b, 4_r, 0_q}: accuracy = 52.138157, count = 152
{6_p, 0_n, 0_b, 4_r, X_q}: accuracy = 52.138157, count = 152
{6_p, 0_n, 0_b, X_r, 0_q}: accuracy = 52.138157, count = 152
{6_p, 0_n, 0_b, X_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, 0_n, 0_b, X_r, X_q}: accuracy = 47.508171, count = 306
{6_p, 0_n, X_b, 0_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, 0_n, X_b, 0_r, X_q}: accuracy = 42.938313, count = 154
{6_p, 0_n, X_b, 4_r, 0_q}: accuracy = 52.138157, count = 152
{6_p, 0_n, X_b, 4_r, X_q}: accuracy = 52.138157, count = 152
{6_p, 0_n, X_b, X_r, 0_q}: accuracy = 52.138157, count = 152
{6_p, 0_n, X_b, X_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, 0_n, X_b, X_r, X_q}: accuracy = 47.508171, count = 306
{6_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, 0_b, 0_r, X_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, 0_b, X_r, 0_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, 0_b, X_r, X_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, X_b, 0_r, 0_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, X_b, 0_r, X_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, X_b, X_r, 0_q}: accuracy = 52.795029, count = 161
{6_p, 2_n, X_b, X_r, X_q}: accuracy = 52.795029, count = 161
{6_p, X_n, 0_b, 0_r, 0_q}: accuracy = 52.795029, count = 161
{6_p, X_n, 0_b, 0_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, X_n, 0_b, 0_r, X_q}: accuracy = 47.976189, count = 315
{6_p, X_n, 0_b, 4_r, 0_q}: accuracy = 52.138157, count = 152
{6_p, X_n, 0_b, 4_r, X_q}: accuracy = 52.138157, count = 152
{6_p, X_n, 0_b, X_r, 0_q}: accuracy = 52.476036, count = 313
{6_p, X_n, 0_b, X_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, X_n, 0_b, X_r, X_q}: accuracy = 49.330837, count = 467
{6_p, X_n, X_b, 0_r, 0_q}: accuracy = 52.795029, count = 161
{6_p, X_n, X_b, 0_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, X_n, X_b, 0_r, X_q}: accuracy = 47.976189, count = 315
{6_p, X_n, X_b, 4_r, 0_q}: accuracy = 52.138157, count = 152
{6_p, X_n, X_b, 4_r, X_q}: accuracy = 52.138157, count = 152
{6_p, X_n, X_b, X_r, 0_q}: accuracy = 52.476036, count = 313
