Path to db: D:\VUZAKA\case\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\VUZAKA\case\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{5_p, 1_n, 0_b, 2_r, X_q}: accuracy = 33.333336, count = 6
{5_p, 1_n, 0_b, X_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, 1_n, 0_b, X_r, X_q}: accuracy = 33.333336, count = 6
{5_p, 1_n, X_b, 2_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, 1_n, X_b, 2_r, X_q}: accuracy = 33.333336, count = 6
{5_p, 1_n, X_b, X_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, 1_n, X_b, X_r, X_q}: accuracy = 33.333336, count = 6
{5_p, X_n, 0_b, 2_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, X_n, 0_b, 2_r, X_q}: accuracy = 33.333336, count = 6
{5_p, X_n, 0_b, X_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, X_n, 0_b, X_r, X_q}: accuracy = 33.333336, count = 6
{5_p, X_n, X_b, 2_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, X_n, X_b, 2_r, X_q}: accuracy = 33.333336, count = 6
{5_p, X_n, X_b, X_r, 0_q}: accuracy = 33.333336, count = 6
{5_p, X_n, X_b, X_r, X_q}: accuracy = 33.333336, count = 6
{6_p, 1_n, 0_b, 1_r, 0_q}: accuracy = 43.750000, count = 8
{6_p, 1_n, 0_b, 1_r, X_q}: accuracy = 43.750000, count = 8
{6_p, 1_n, 0_b, 2_r, 0_q}: accuracy = 100.000000, count = 1
{6_p, 1_n, 0_b, 2_r, X_q}: accuracy = 100.000000, count = 1
{6_p, 1_n, 0_b, 3_r, 0_q}: accuracy = 70.833328, count = 3
{6_p, 1_n, 0_b, 3_r, X_q}: accuracy = 70.833328, count = 3
{6_p, 1_n, 0_b, X_r, 0_q}: accuracy = 55.208332, count = 12
{6_p, 1_n, 0_b, X_r, X_q}: accuracy = 55.208332, count = 12
{6_p, 1_n, 1_b, 2_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, 1_n, 1_b, 2_r, X_q}: accuracy = 100.000000, count = 2
{6_p, 1_n, 1_b, X_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, 1_n, 1_b, X_r, X_q}: accuracy = 100.000000, count = 2
{6_p, 1_n, X_b, 1_r, 0_q}: accuracy = 43.750000, count = 8
{6_p, 1_n, X_b, 1_r, X_q}: accuracy = 43.750000, count = 8
{6_p, 1_n, X_b, 2_r, 0_q}: accuracy = 100.000000, count = 3
{6_p, 1_n, X_b, 2_r, X_q}: accuracy = 100.000000, count = 3
{6_p, 1_n, X_b, 3_r, 0_q}: accuracy = 70.833328, count = 3
{6_p, 1_n, X_b, 3_r, X_q}: accuracy = 70.833328, count = 3
{6_p, 1_n, X_b, X_r, 0_q}: accuracy = 61.607140, count = 14
{6_p, 1_n, X_b, X_r, X_q}: accuracy = 61.607140, count = 14
{6_p, X_n, 0_b, 1_r, 0_q}: accuracy = 43.750000, count = 8
{6_p, X_n, 0_b, 1_r, X_q}: accuracy = 43.750000, count = 8
{6_p, X_n, 0_b, 2_r, 0_q}: accuracy = 100.000000, count = 1
{6_p, X_n, 0_b, 2_r, X_q}: accuracy = 100.000000, count = 1
{6_p, X_n, 0_b, 3_r, 0_q}: accuracy = 70.833328, count = 3
{6_p, X_n, 0_b, 3_r, X_q}: accuracy = 70.833328, count = 3
{6_p, X_n, 0_b, X_r, 0_q}: accuracy = 55.208332, count = 12
{6_p, X_n, 0_b, X_r, X_q}: accuracy = 55.208332, count = 12
{6_p, X_n, 1_b, 2_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, X_n, 1_b, 2_r, X_q}: accuracy = 100.000000, count = 2
{6_p, X_n, 1_b, X_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, X_n, 1_b, X_r, X_q}: accuracy = 100.000000, count = 2
{6_p, X_n, X_b, 1_r, 0_q}: accuracy = 43.750000, count = 8
{6_p, X_n, X_b, 1_r, X_q}: accuracy = 43.750000, count = 8
{6_p, X_n, X_b, 2_r, 0_q}: accuracy = 100.000000, count = 3
{6_p, X_n, X_b, 2_r, X_q}: accuracy = 100.000000, count = 3
{6_p, X_n, X_b, 3_r, 0_q}: accuracy = 70.833328, count = 3
{6_p, X_n, X_b, 3_r, X_q}: accuracy = 70.833328, count = 3
{6_p, X_n, X_b, X_r, 0_q}: accuracy = 61.607140, count = 14
{6_p, X_n, X_b, X_r, X_q}: accuracy = 61.607140, count = 14
{7_p, 1_n, 0_b, 3_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 0_b, 3_r, X_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 0_b, X_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 0_b, X_r, X_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 1_b, 2_r, 0_q}: accuracy = 100.000000, count = 2
{7_p, 1_n, 1_b, 2_r, X_q}: accuracy = 100.000000, count = 2
{7_p, 1_n, 1_b, X_r, 0_q}: accuracy = 100.000000, count = 2
{7_p, 1_n, 1_b, X_r, X_q}: accuracy = 100.000000, count = 2
{7_p, 1_n, X_b, 2_r, 0_q}: accuracy = 100.000000, count = 2
{7_p, 1_n, X_b, 2_r, X_q}: accuracy = 100.000000, count = 2
{7_p, 1_n, X_b, 3_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, X_b, 3_r, X_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, X_b, X_r, 0_q}: accuracy = 87.500000, count = 4
{7_p, 1_n, X_b, X_r, X_q}: accuracy = 87.500000, count = 4
{7_p, X_n, 0_b, 3_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, X_n, 0_b, 3_r, X_q}: accuracy = 75.000000, count = 2
{7_p, X_n, 0_b, X_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, X_n, 0_b, X_r, X_q}: accuracy = 75.000000, count = 2
{7_p, X_n, 1_b, 2_r, 0_q}: accuracy = 100.000000, count = 2
{7_p, X_n, 1_b, 2_r, X_q}: accuracy = 100.000000, count = 2
{7_p, X_n, 1_b, X_r, 0_q}: accuracy = 100.000000, count = 2
{7_p, X_n, 1_b, X_r, X_q}: accuracy = 100.000000, count = 2
{7_p, X_n, X_b, 2_r, 0_q}: accuracy = 100.000000, count = 2
{7_p, X_n, X_b, 2_r, X_q}: accuracy = 100.000000, count = 2
{7_p, X_n, X_b, 3_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, X_n, X_b, 3_r, X_q}: accuracy = 75.000000, count = 2
{7_p, X_n, X_b, X_r, 0_q}: accuracy = 87.500000, count = 4
{7_p, X_n, X_b, X_r, X_q}: accuracy = 87.500000, count = 4
{8_p, 0_n, 0_b, 2_r, 0_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, 0_b, 2_r, X_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, 0_b, X_r, 0_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, 0_b, X_r, X_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, X_b, 2_r, 0_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, X_b, 2_r, X_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, X_b, X_r, 0_q}: accuracy = 62.500000, count = 8
{8_p, 0_n, X_b, X_r, X_q}: accuracy = 62.500000, count = 8
{8_p, 1_n, 0_b, 3_r, 0_q}: accuracy = 66.666672, count = 6
{8_p, 1_n, 0_b, 3_r, X_q}: accuracy = 66.666672, count = 6
{8_p, 1_n, 0_b, X_r, 0_q}: accuracy = 66.666672, count = 6
{8_p, 1_n, 0_b, X_r, X_q}: accuracy = 66.666672, count = 6
{8_p, 1_n, 1_b, 2_r, 0_q}: accuracy = 46.428570, count = 7
{8_p, 1_n, 1_b, 2_r, X_q}: accuracy = 46.428570, count = 7
{8_p, 1_n, 1_b, X_r, 0_q}: accuracy = 46.428570, count = 7
{8_p, 1_n, 1_b, X_r, X_q}: accuracy = 46.428570, count = 7
{8_p, 1_n, X_b, 2_r, 0_q}: accuracy = 46.428570, count = 7
{8_p, 1_n, X_b, 2_r, X_q}: accuracy = 46.428570, count = 7
{8_p, 1_n, X_b, 3_r, 0_q}: accuracy = 66.666672, count = 6
{8_p, 1_n, X_b, 3_r, X_q}: accuracy = 66.666672, count = 6
{8_p, 1_n, X_b, X_r, 0_q}: accuracy = 55.769230, count = 13
{8_p, 1_n, X_b, X_r, X_q}: accuracy = 55.769230, count = 13
{8_p, X_n, 0_b, 2_r, 0_q}: accuracy = 62.500000, count = 8
{8_p, X_n, 0_b, 2_r, X_q}: accuracy = 62.500000, count = 8
{8_p, X_n, 0_b, 3_r, 0_q}: accuracy = 66.666672, count = 6
{8_p, X_n, 0_b, 3_r, X_q}: accuracy = 66.666672, count = 6
{8_p, X_n, 0_b, X_r, 0_q}: accuracy = 64.285713, count = 14
{8_p, X_n, 0_b, X_r, X_q}: accuracy = 64.285713, count = 14
{8_p, X_n, 1_b, 2_r, 0_q}: accuracy = 46.428570, count = 7
{8_p, X_n, 1_b, 2_r, X_q}: accuracy = 46.428570, count = 7
{8_p, X_n, 1_b, X_r, 0_q}: accuracy = 46.428570, count = 7
{8_p, X_n, 1_b, X_r, X_q}: accuracy = 46.428570, count = 7
{8_p, X_n, X_b, 2_r, 0_q}: accuracy = 55.000000, count = 15
{8_p, X_n, X_b, 2_r, X_q}: accuracy = 55.000000, count = 15
{8_p, X_n, X_b, 3_r, 0_q}: accuracy = 66.666672, count = 6
{8_p, X_n, X_b, 3_r, X_q}: accuracy = 66.666672, count = 6
{8_p, X_n, X_b, X_r, 0_q}: accuracy = 58.333332, count = 21
{8_p, X_n, X_b, X_r, X_q}: accuracy = 58.333332, count = 21
{9_p, 0_n, 0_b, 2_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, 0_b, 2_r, X_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, 0_b, X_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, 0_b, X_r, X_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, X_b, 2_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, X_b, 2_r, X_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, X_b, X_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, 0_n, X_b, X_r, X_q}: accuracy = 35.000000, count = 5
{9_p, X_n, 0_b, 2_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, X_n, 0_b, 2_r, X_q}: accuracy = 35.000000, count = 5
{9_p, X_n, 0_b, X_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, X_n, 0_b, X_r, X_q}: accuracy = 35.000000, count = 5
{9_p, X_n, X_b, 2_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, X_n, X_b, 2_r, X_q}: accuracy = 35.000000, count = 5
{9_p, X_n, X_b, X_r, 0_q}: accuracy = 35.000000, count = 5
{9_p, X_n, X_b, X_r, X_q}: accuracy = 35.000000, count = 5
{10_p, 0_n, 0_b, 2_r, 0_q}: accuracy = 58.333332, count = 3
{10_p, 0_n, 0_b, 2_r, 2_q}: accuracy = 56.250000, count = 4
{10_p, 0_n, 0_b, 2_r, X_q}: accuracy = 57.142860, count = 7
{10_p, 0_n, 0_b, X_r, 0_q}: accuracy = 58.333332, count = 3
{10_p, 0_n, 0_b, X_r, 2_q}: accuracy = 56.250000, count = 4
{10_p, 0_n, 0_b, X_r, X_q}: accuracy = 57.142860, count = 7
{10_p, 0_n, 1_b, 4_r, 2_q}: accuracy = 0.000000, count = 7
{10_p, 0_n, 1_b, 4_r, X_q}: accuracy = 0.000000, count = 7
{10_p, 0_n, 1_b, X_r, 2_q}: accuracy = 0.000000, count = 7
{10_p, 0_n, 1_b, X_r, X_q}: accuracy = 0.000000, count = 7
{10_p, 0_n, 2_b, 3_r, 0_q}: accuracy = 0.000000, count = 16
{10_p, 0_n, 2_b, 3_r, X_q}: accuracy = 0.000000, count = 16
{10_p, 0_n, 2_b, X_r, 0_q}: accuracy = 0.000000, count = 16
{10_p, 0_n, 2_b, X_r, X_q}: accuracy = 0.000000, count = 16
{10_p, 0_n, X_b, 2_r, 0_q}: accuracy = 58.333332, count = 3
{10_p, 0_n, X_b, 2_r, 2_q}: accuracy = 56.250000, count = 4
{10_p, 0_n, X_b, 2_r, X_q}: accuracy = 57.142860, count = 7
{10_p, 0_n, X_b, 3_r, 0_q}: accuracy = 0.000000, count = 16
{10_p, 0_n, X_b, 3_r, X_q}: accuracy = 0.000000, count = 16
{10_p, 0_n, X_b, 4_r, 2_q}: accuracy = 0.000000, count = 7
{10_p, 0_n, X_b, 4_r, X_q}: accuracy = 0.000000, count = 7
{10_p, 0_n, X_b, X_r, 0_q}: accuracy = 9.210526, count = 19
{10_p, 0_n, X_b, X_r, 2_q}: accuracy = 20.454546, count = 11
{10_p, 0_n, X_b, X_r, X_q}: accuracy = 13.333334, count = 30
{10_p, 1_n, 1_b, 2_r, 0_q}: accuracy = 37.500000, count = 4
{10_p, 1_n, 1_b, 2_r, X_q}: accuracy = 37.500000, count = 4
{10_p, 1_n, 1_b, 4_r, 2_q}: accuracy = 6.250000, count = 4
{10_p, 1_n, 1_b, 4_r, X_q}: accuracy = 6.250000, count = 4
{10_p, 1_n, 1_b, X_r, 0_q}: accuracy = 37.500000, count = 4
{10_p, 1_n, 1_b, X_r, 2_q}: accuracy = 6.250000, count = 4
{10_p, 1_n, 1_b, X_r, X_q}: accuracy = 21.875000, count = 8
{10_p, 1_n, X_b, 2_r, 0_q}: accuracy = 37.500000, count = 4
{10_p, 1_n, X_b, 2_r, X_q}: accuracy = 37.500000, count = 4
{10_p, 1_n, X_b, 4_r, 2_q}: accuracy = 6.250000, count = 4
{10_p, 1_n, X_b, 4_r, X_q}: accuracy = 6.250000, count = 4
{10_p, 1_n, X_b, X_r, 0_q}: accuracy = 37.500000, count = 4
{10_p, 1_n, X_b, X_r, 2_q}: accuracy = 6.250000, count = 4
{10_p, 1_n, X_b, X_r, X_q}: accuracy = 21.875000, count = 8
{10_p, X_n, 0_b, 2_r, 0_q}: accuracy = 58.333332, count = 3
{10_p, X_n, 0_b, 2_r, 2_q}: accuracy = 56.250000, count = 4
{10_p, X_n, 0_b, 2_r, X_q}: accuracy = 57.142860, count = 7
{10_p, X_n, 0_b, X_r, 0_q}: accuracy = 58.333332, count = 3
{10_p, X_n, 0_b, X_r, 2_q}: accuracy = 56.250000, count = 4
{10_p, X_n, 0_b, X_r, X_q}: accuracy = 57.142860, count = 7
{10_p, X_n, 1_b, 2_r, 0_q}: accuracy = 37.500000, count = 4
{10_p, X_n, 1_b, 2_r, X_q}: accuracy = 37.500000, count = 4
{10_p, X_n, 1_b, 4_r, 2_q}: accuracy = 2.272727, count = 11
{10_p, X_n, 1_b, 4_r, X_q}: accuracy = 2.272727, count = 11
{10_p, X_n, 1_b, X_r, 0_q}: accuracy = 37.500000, count = 4
{10_p, X_n, 1_b, X_r, 2_q}: accuracy = 2.272727, count = 11
{10_p, X_n, 1_b, X_r, X_q}: accuracy = 11.666667, count = 15
{10_p, X_n, 2_b, 3_r, 0_q}: accuracy = 0.000000, count = 16
{10_p, X_n, 2_b, 3_r, X_q}: accuracy = 0.000000, count = 16
{10_p, X_n, 2_b, X_r, 0_q}: accuracy = 0.000000, count = 16
{10_p, X_n, 2_b, X_r, X_q}: accuracy = 0.000000, count = 16
{10_p, X_n, X_b, 2_r, 0_q}: accuracy = 46.428570, count = 7
{10_p, X_n, X_b, 2_r, 2_q}: accuracy = 56.250000, count = 4
{10_p, X_n, X_b, 2_r, X_q}: accuracy = 50.000000, count = 11
{10_p, X_n, X_b, 3_r, 0_q}: accuracy = 0.000000, count = 16
{10_p, X_n, X_b, 3_r, X_q}: accuracy = 0.000000, count = 16
{10_p, X_n, X_b, 4_r, 2_q}: accuracy = 2.272727, count = 11
{10_p, X_n, X_b, 4_r, X_q}: accuracy = 2.272727, count = 11
{10_p, X_n, X_b, X_r, 0_q}: accuracy = 14.130434, count = 23
{10_p, X_n, X_b, X_r, 2_q}: accuracy = 16.666668, count = 15
{10_p, X_n, X_b, X_r, X_q}: accuracy = 15.131579, count = 38
{11_p, 1_n, 0_b, 3_r, 0_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, 0_b, 3_r, X_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, 0_b, X_r, 0_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, 0_b, X_r, X_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, 2_b, 4_r, 1_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, 2_b, 4_r, X_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, 2_b, X_r, 1_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, 2_b, X_r, X_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, X_b, 3_r, 0_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, X_b, 3_r, X_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, X_b, 4_r, 1_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, X_b, 4_r, X_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, X_b, X_r, 0_q}: accuracy = 62.500000, count = 13
{11_p, 1_n, X_b, X_r, 1_q}: accuracy = 0.000000, count = 42
{11_p, 1_n, X_b, X_r, X_q}: accuracy = 14.772727, count = 55
{11_p, 2_n, 2_b, 4_r, 1_q}: accuracy = 0.000000, count = 3
{11_p, 2_n, 2_b, 4_r, 2_q}: accuracy = 5.000000, count = 5
{11_p, 2_n, 2_b, 4_r, X_q}: accuracy = 3.125000, count = 8
{11_p, 2_n, 2_b, X_r, 1_q}: accuracy = 0.000000, count = 3
{11_p, 2_n, 2_b, X_r, 2_q}: accuracy = 5.000000, count = 5
{11_p, 2_n, 2_b, X_r, X_q}: accuracy = 3.125000, count = 8
{11_p, 2_n, 4_b, 4_r, 2_q}: accuracy = 6.250000, count = 2
{11_p, 2_n, 4_b, 4_r, X_q}: accuracy = 6.250000, count = 2
{11_p, 2_n, 4_b, X_r, 2_q}: accuracy = 6.250000, count = 2
